"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5963","[1440x900] Setup - Create Content — no collapsed containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — No CSS layout errors (zero-size containers)","as1360-advanced.spec.js","",""
"","5783","[1366x768] VC Draft — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","8631","✅ TC-I04 | [1920x1080] No major elements overlap each other","","2026-05-14","passed","2026-05-14","🟣 INTERACTIVE ELEMENTS — Buttons, inputs, tabs fully visible","as1360-master.spec.js","",""
"","5958","[1366x768] Setup - Create Coordinator — no text overflow","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Text is readable and not truncated","as1360-advanced.spec.js","",""
"","9876","✅ TC-I03 | [1366x768] Sidebar does not overlap main content","","2026-05-14","failed","2026-05-14","🟣 INTERACTIVE ELEMENTS — Buttons, inputs, tabs fully visible","as1360-master.spec.js","",""
"","5975","[1920x1080] Setup - Test Coordinator — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","9881","❌ TC-B17 | Upload wrong file type (.txt) — rejected","","2026-05-14","passed","2026-05-14","🟢 BULK TESTING — Upload, Results & Responsiveness","as1360-complete.spec.js","",""
"","9953","[1440x900] Setup - Create Coordinator — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","5862","[1440x900] Setup - Train Coordinator — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","11042","[1440x900] Setup - Create Content — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","5625","[1920x1080] Setup - Create Content — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","16264","✅ TC-F04 | [1366x768] Flagged Messages tab — no overflow, buttons aligned","","2026-05-14","passed","2026-05-14","🔴 FLAGGED MESSAGES — Tab loads & responsiveness","as1360-master.spec.js","",""
"","7145","❌ TC-S05 | Send empty message — blocked or shows validation","","2026-05-14","passed","2026-05-14","🟡 SINGLE MESSAGE TESTING — Send message & check responsiveness","as1360-complete.spec.js","",""
"","6181","[1440x900] Setup - Create Coordinator — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","5730","[1440x900] Setup - Test Coordinator — no collapsed containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — No CSS layout errors (zero-size containers)","as1360-advanced.spec.js","",""
"","5842","[1440x900] Setup - Create Coordinator — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","7429","[1440x900] Setup - Test Coordinator — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","6135","[1366x768] Zoom 75% — no layout break","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Page renders correctly after browser zoom","as1360-advanced.spec.js","",""
"","5794","[1366x768] Setup - Create Coordinator — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","8184","⚡ EDGE-W | [2560x1440] Layout does not stretch awkwardly on ultra-wide","","2026-05-14","passed","2026-05-14","⚡ EDGE CASES — Boundary resolutions, resize, zoom, network","as1360-master.spec.js","",""
"","11030","✅ TC-B03 | Start Test button is clickable after CSV upload","","2026-05-14","passed","2026-05-14","🟢 BULK TESTING — Upload, Results & Responsiveness","as1360-complete.spec.js","",""
"","12060","[1440x900] Setup - Train Coordinator — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","5793","[1920x1080] Setup - Flagged Messages — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","5881","[1920x1080] Setup - Create Content — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","5587","[1366x768] Setup - Create Coordinator — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","5924","[1366x768] VC Overview — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","5798","[1440x900] Setup - Test Coordinator — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","8674","[1366x768] Setup - Create Content — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","10544","✅ TC-B11 | Response time shown for each row (e.g. 287ms)","","2026-05-14","passed","2026-05-14","🟢 BULK TESTING — Upload, Results & Responsiveness","as1360-complete.spec.js","",""
"","5717","[1920x1080] Zoom 125% — no layout break","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Page renders correctly after browser zoom","as1360-advanced.spec.js","",""
"","3118","✅ TC-L06 | [1366x768] Login page — no overflow, form aligned","","2026-05-14","passed","2026-05-14","🔐 LOGIN — Page loads and authentication works","as1360-master.spec.js","",""
"","6336","[1366x768] Large OS font size (1.5x) does not break layout","","2026-05-13","passed","2026-05-13","⚡ EDGE — Font scaling does not break layout","as1360-advanced.spec.js","",""
"","11795","✅ TC-I02 | [1366x768] Footer CTAs (Next, Save as Draft, Back) visible and not clipped","","2026-05-14","passed","2026-05-14","🟣 INTERACTIVE ELEMENTS — Buttons, inputs, tabs fully visible","as1360-master.spec.js","",""
