"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6146","[1366x768] Footer CTAs are visible and not clipped","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Footer CTAs visible at all resolutions","as1360-advanced.spec.js","",""
"","6332","[1920x1080] Create VC Step 1 — no collapsed containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — No CSS layout errors (zero-size containers)","as1360-advanced.spec.js","",""
"","5843","[1440x900] Setup - Flagged Messages — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","5912","[1366x768] Setup - Create Content — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","5744","[1920x1080] Setup - Flagged Messages — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","5632","[1366x768] VC Overview — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","10462","[1440x900] Create VC Step 1 — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","6156","[1440x900] VC Overview — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","6107","[1440x900] VC Draft — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","7696","✅ TC-S04 | [1920x1080] Single Testing tab — no overflow, buttons aligned","","2026-05-14","passed","2026-05-14","🟡 SINGLE MESSAGE TESTING — Send message & check responsiveness","as1360-complete.spec.js","",""
"","5936","[1920x1080] Setup - Test Coordinator — no collapsed containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — No CSS layout errors (zero-size containers)","as1360-advanced.spec.js","",""
"","6140","[1920x1080] Setup - Create Content — no text overflow","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Text is readable and not truncated","as1360-advanced.spec.js","",""
"","8306","✅ TC-B14 | [1440x900] Bulk Testing tab — no overflow, buttons aligned","","2026-05-14","passed","2026-05-14","🟢 BULK TESTING — Upload, Results & Responsiveness","as1360-complete.spec.js","",""
"","5798","[1366x768] Create VC Step 1 — no collapsed containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — No CSS layout errors (zero-size containers)","as1360-advanced.spec.js","",""
"","6221","[1366x768] Setup - Flagged Messages — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","5745","[1440x900] Setup - Bulk Testing — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","6446","[1366x768] Setup - Create Content — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","5931","[1366x768] Create VC Step 1 — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","5679","[1440x900] Setup - Bulk Testing — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","5764","[1920x1080] Setup - Train Coordinator — no collapsed containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — No CSS layout errors (zero-size containers)","as1360-advanced.spec.js","",""
"","5640","[1366x768] Images stay within their containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Images do not overflow their containers","as1360-advanced.spec.js","",""
"","8142","✅ TC-S01 | Single Message Testing tab loads correctly","","2026-05-14","passed","2026-05-14","🟡 SINGLE MESSAGE TESTING — Send message & check responsiveness","as1360-complete.spec.js","",""
"","5858","[1920x1080] VC Overview — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","6684","[1366x768] Setup - Flagged Messages — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","5788","[1366x768] Setup - Create Coordinator — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","5800","[1366x768] Zoom 90% — no layout break","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Page renders correctly after browser zoom","as1360-advanced.spec.js","",""
"","11042","[1440x900] Setup - Create Content — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","5936","[1366x768] Setup - Train Coordinator — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","5694","[1440x900] Zoom 125% — no layout break","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Page renders correctly after browser zoom","as1360-advanced.spec.js","",""
"","5701","Resize during navigation does not freeze or break layout","","2026-05-13","passed","2026-05-13","⚡ EDGE — Resize while content is loading","as1360-advanced.spec.js","",""
"","5756","[1366x768] Setup - Test Coordinator — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","5717","[1920x1080] Zoom 125% — no layout break","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Page renders correctly after browser zoom","as1360-advanced.spec.js","",""
"","11005","✅ TC-B14 | [1920x1080] Bulk Testing tab — no overflow, buttons aligned","","2026-05-14","passed","2026-05-14","🟢 BULK TESTING — Upload, Results & Responsiveness","as1360-complete.spec.js","",""
"","9777","✅ TC-F04 | [1440x900] Flagged Messages tab — no overflow, buttons aligned","","2026-05-14","passed","2026-05-14","🔴 FLAGGED MESSAGES — Tab loads & responsiveness","as1360-complete.spec.js","",""
"","7755","[1366x768] Setup - Train Coordinator — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","6929","[1366x768] VC Draft — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","5795","[1440x900] Footer CTAs are visible and not clipped","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Footer CTAs visible at all resolutions","as1360-advanced.spec.js","",""
"","6258","[1366x768] Setup - Train Coordinator — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","5864","[1366x768] VC Overview — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","6506","[1440x900] Switching tabs does not break layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Tab switching keeps layout stable","as1360-advanced.spec.js","",""
"","5830","[1920x1080] Setup - Create Content — no collapsed containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — No CSS layout errors (zero-size containers)","as1360-advanced.spec.js","",""
"","5798","[1440x900] Setup - Test Coordinator — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","11352","✅ TC-S02 | Can type and send a single message","","2026-05-14","passed","2026-05-14","🟡 SINGLE MESSAGE TESTING — Send message & check responsiveness","as1360-complete.spec.js","",""
"","6024","[1366x768] Setup - Train Coordinator — no collapsed containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — No CSS layout errors (zero-size containers)","as1360-advanced.spec.js","",""
"","5659","[1920x1080] VC Draft — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","6952","[1920x1080] Setup - Test Coordinator — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","12294","✅ TC-F01 | Flagged Messages tab loads correctly","","2026-05-14","passed","2026-05-14","🔴 FLAGGED MESSAGES — Tab loads & responsiveness","as1360-complete.spec.js","",""
"","7436","Rapid resize 1920→1366→1920 does not break layout","","2026-05-13","passed","2026-05-13","⚡ EDGE — Rapid resize between resolutions","as1360-advanced.spec.js","",""
"","5748","[1440x900] Setup - Create Content — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","5793","[1920x1080] Setup - Flagged Messages — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","6435","[1440x900] Images stay within their containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Images do not overflow their containers","as1360-advanced.spec.js","",""
"","5814","[1440x900] VC Overview — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","7145","❌ TC-S05 | Send empty message — blocked or shows validation","","2026-05-14","passed","2026-05-14","🟡 SINGLE MESSAGE TESTING — Send message & check responsiveness","as1360-complete.spec.js","",""
"","5784","[1366x768] Setup - Train Coordinator — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","6356","[1366x768] Create VC Step 1 — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","5924","[1366x768] VC Overview — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","6164","[1366x768] VC Draft — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","11686","✅ TC-B15 | [1920x1080] Results modal — no overflow, fully visible","","2026-05-14","passed","2026-05-14","🟢 BULK TESTING — Upload, Results & Responsiveness","as1360-complete.spec.js","",""
"","5842","[1440x900] Setup - Create Coordinator — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","5625","[1920x1080] Setup - Create Content — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","6123","[1920x1080] Zoom 75% — no layout break","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Page renders correctly after browser zoom","as1360-advanced.spec.js","",""
"","5804","[1920x1080] No two major elements overlap each other","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Elements do NOT overlap at any resolution","as1360-advanced.spec.js","",""
"","6090","[1920x1080] Setup - Bulk Testing — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","5958","[1366x768] Setup - Create Coordinator — no text overflow","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Text is readable and not truncated","as1360-advanced.spec.js","",""
"","7354","[1920x1080] Setup - Create Content — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","6216","[1440x900] Zoom 110.00000000000001% — no layout break","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Page renders correctly after browser zoom","as1360-advanced.spec.js","",""
"","7505","✅ TC-F02 | Flagged Messages table or empty state is visible","","2026-05-14","passed","2026-05-14","🔴 FLAGGED MESSAGES — Tab loads & responsiveness","as1360-complete.spec.js","",""
"","7429","[1440x900] Setup - Test Coordinator — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","6902","[1440x900] VC Overview — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","6287","[1920x1080] Setup - Train Coordinator — no text overflow","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Text is readable and not truncated","as1360-advanced.spec.js","",""
"","6181","[1440x900] Setup - Create Coordinator — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","7992","✅ TC-S04 | [1366x768] Single Testing tab — no overflow, buttons aligned","","2026-05-14","passed","2026-05-14","🟡 SINGLE MESSAGE TESTING — Send message & check responsiveness","as1360-complete.spec.js","",""
"","15249","[1366x768] All setup tabs visited in order — no layout break","","2026-05-13","passed","2026-05-13","⚡ EDGE — All tabs visited sequentially at smallest resolution","as1360-advanced.spec.js","",""
"","5967","[1366x768] Setup - Test Coordinator — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","5733","[1920x1080] Images stay within their containers","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Images do not overflow their containers","as1360-advanced.spec.js","",""
"","7332","[1440x900] Setup - Flagged Messages — no overflow, no broken layout","","2026-05-14","passed","2026-05-14","🔵 RESPONSIVENESS — Layout correct on all pages","as1360-complete.spec.js","",""
"","6164","[1920x1080] Zoom 110.00000000000001% — no layout break","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Page renders correctly after browser zoom","as1360-advanced.spec.js","",""
"","6566","[1920x1080] Create VC Step 1 — no text overflow","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Text is readable and not truncated","as1360-advanced.spec.js","",""
"","5997","[1367x768 (just above)] Layout handles boundary resolution correctly","","2026-05-13","passed","2026-05-13","⚡ EDGE — Boundary resolutions just above/below 1366","as1360-advanced.spec.js","",""
"","6117","Layout does not stretch awkwardly on ultra-wide","","2026-05-13","passed","2026-05-13","⚡ EDGE — Ultra-wide resolution (2560x1440)","as1360-advanced.spec.js","",""
"","5959","[1920x1080] Setup - Train Coordinator — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","7297","[1920x1080] Setup - Test Coordinator — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","5872","[1440x900] Setup - Train Coordinator — buttons/tabs/inputs fully visible","","2026-05-13","passed","2026-05-13","✅ POSITIVE — All interactive elements visible and clickable","as1360-advanced.spec.js","",""
"","6043","[1366x768] Setup - Bulk Testing — no horizontal scrollbar","","2026-05-13","passed","2026-05-13","❌ NEGATIVE — Scrollbar does not appear horizontally on any page","as1360-advanced.spec.js","",""
"","6779","[1920x1080] Create VC Step 1 — no overflow, no broken layout","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Layout renders at all required resolutions","as1360-advanced.spec.js","",""
"","5894","[1366x768] Setup - Create Content — no text overflow","","2026-05-13","passed","2026-05-13","✅ POSITIVE — Text is readable and not truncated","as1360-advanced.spec.js","",""
"","10544","✅ TC-B11 | Response time shown for each row (e.g. 287ms)","","2026-05-14","passed","2026-05-14","🟢 BULK TESTING — Upload, Results & Responsiveness","as1360-complete.spec.js","",""
"","8111","✅ TC-F03 | Flagged Messages tab — no horizontal scroll","","2026-05-14","passed","2026-05-14","🔴 FLAGGED MESSAGES — Tab loads & responsiveness","as1360-complete.spec.js","",""
